CODIGO PERIODO,CODIGO ESTUDIANTE,DES_APELLIDO_PATERNO,DES_APELLIDO_MATERNO,DES_NOMBRES,GENERO,EDAD,CORREO_UPC,CORREO_PERSONAL_1,MOBILE PHONE,FLAG_ESTUDIANTE_PROVINCIA,CARRERA,FACULTAD,CAMPUS,FECHA MATRICULA,IND_CICLO_ALUMNO,NRO_CICLOS_ORDINARIO_MAT,NRO_CICLOS_ORDINARIO_RET,FLAG_TIENE_DEUDA,MONTO_DEUDA,FLAG_COLEGIO_PROCEDENCIA_ES_PROVINCIA,FLAG_BECA_18,FLAG_BENEFICIO,TIPO BENEFICIO,MODALIDAD DE INGRESO,CICLO DE INGRESO,FLAG_TRABAJA,FLAG_LLEVÓ NIVELACIÓN,NIVEL SOCIOECONÓMICO,CATEGORÍA DE PAGO,CANTIDAD CURSOS MATRICULADOS EN RIESGO,CANTIDAD CURSOS MATRICULADOS EN PRESENCIAL,CANTIDAD CURSOS MATRICULADOS EN VIRTUAL,TOTAL DE CURSOS MATRICULADOS EN TODO SU AVANCE,TOTAL DE CURSOS APROBADOS EN TODO SU AVANCE,TOTAL DE CURSOS DESAPROBADOS EN TODO SU AVANCE,TOTAL DE RETIROS DE ASIGNATURA EN TODO SU AVANCE,TOTAL DE CURSOS MATRICULADOS POR CICLO,TOTAL DE RETIROS DE ASIGNATURA POR CICLO,TOTAL DE CURSOS APROBADOS POR CICLO,TOTAL DE CURSOS DESAPROBADOS POR CICLO,TOTAL DE CRÉDITOS APROBADOS POR CICLO,TOTAL DE CRÉDITOS DESAPROBADOS POR CICLO,TOTAL DE CRÉDITOS APROBADOS EN TODO SU AVANCE,TOTAL DE CRÉDITOS DESAPROBADOS EN TODO SU AVANCE,TOTAL DE CRÉDITOS MATRICULADOS POR CICLO,TOTAL DE CRÉDITOS MATRICULADOS EN TODO SU AVANCE,PROMEDIO PONDERADO ACUMULADO,PROMEDIO POR CICLO,NÚMERO DE DOBLE DESAPROBACIÓN POR CICLO,NÚMERO DE DOBLE DESAPROBACIÓN EN TODO SU AVANCE,NÚMERO DE ASISTENCIAS POR CICLO,PORCENTAJE DE ASISTENCIAS POR CICLO,NÚMERO DE INASISTENCIAS POR CICLO,PORCENTAJE DE INASISTENCIAS,FLAG ABANDONO ESTUDIOS
2019-1,u20162000,Apellido 0,Apellido 0,Nombre0,F,26,u0@upc.edu.pe,personal_0@gmail.com,90000000,SI,Ingeniería de Gestión Empresarial,Ingeniería,Monterrico,2019-00-01,6,6,0,SI,4000,NO,NO,NO,DESCUENTOS CORPORATIVOS,EXONER.GRADO TITULO,2016-2,NO,SI,C,S,3,3,3,30,11,9,10,3,1,1,2,44,8,44,36,12,120,11.651340648853232,13.524804063995614,6,5,73,0.7604166666666666,23,0.23958333333333334,NO
2019-1,u20172100,Apellido 1,Apellido 1,Nombre1,M,29,u1@upc.edu.pe,personal_1@gmail.com,91000000,NO,Ingeniería de Gestión Minera,Ingeniería,Monterrico,2019-01-01,4,3,1,SI,6000,NO,NO,NO,DESCUENTO RETENCION,EXONER.GRADO TITULO,2017-2,NO,SI,C,T,5,3,5,20,11,9,0,3,2,3,0,44,0,44,36,12,80,6.1400689220318725,9.955426452330011,4,5,85,0.6854838709677419,39,0.31451612903225806,NO
2019-1,u20181200,Apellido 2,Apellido 2,Nombre2,M,24,u2@upc.edu.pe,personal_2@gmail.com,92000000,NO,Ingeniería de Gestión Empresarial,Ingeniería,Monterrico,2019-02-01,3,2,1,NO,0,NO,NO,NO,DESCUENTOS CORPORATIVOS,SELECCIÓN PREFERENTE,2017-1,SI,SI,C,Y,5,6,4,15,0,5,10,3,4,2,1,0,4,0,20,12,60,18.266934779528857,10.456069891914973,6,1,121,0.8120805369127517,28,0.18791946308724833,NO
2019-1,u20162300,Apellido 3,Apellido 3,Nombre3,M,30,u3@upc.edu.pe,personal_3@gmail.com,93000000,NO,Ingeniería de Gestión Empresarial,Ingeniería,Monterrico,2019-03-01,6,2,4,NO,0,SI,NO,SI,SIN BENEFICIO,EXONER.GRADO TITULO,2016-2,NO,SI,C,S,6,6,5,30,24,4,2,3,5,2,1,96,4,96,16,12,120,8.07758466179822,18.057331146551807,5,3,86,0.7288135593220338,32,0.2711864406779661,NO
2019-1,u20161400,Apellido 4,Apellido 4,Nombre4,M,28,u4@upc.edu.pe,personal_4@gmail.com,94000000,NO,Ingeniería de Gestión Minera,Ingeniería,Monterrico,2019-04-01,7,6,1,NO,0,SI,NO,SI,DESCUENTOS CORPORATIVOS,EVALUACION INTEGRAL,2015-1,NO,SI,B,Q,4,3,2,35,9,14,12,3,3,2,1,36,4,36,56,12,140,19.614430776959622,10.212868624120341,2,0,60,0.6593406593406593,31,0.34065934065934067,NO
2019-1,u20181500,Apellido 5,Apellido 5,Nombre5,F,19,u5@upc.edu.pe,personal_5@gmail.com,95000000,NO,Ciencias de la Computación,Ingeniería,Monterrico,2019-05-01,3,3,0,NO,0,NO,NO,NO,BECA DE HONOR,EXONER.GRADO TITULO,2017-1,NO,SI,B,Q,6,4,2,15,5,4,6,4,1,3,1,20,4,20,16,16,60,8.105953003164453,11.933414234277425,6,4,121,0.852112676056338,21,0.14788732394366197,NO
2019-1,u20181600,Apellido 6,Apellido 6,Nombre6,M,27,u6@upc.edu.pe,personal_6@gmail.com,96000000,NO,Ingeniería Ambiental,Ingeniería,Monterrico,2019-06-01,3,3,0,SI,4000,NO,NO,NO,BECA DE HONOR,EXONER.GRADO TITULO,2017-1,NO,SI,B,S,6,1,3,15,6,1,8,4,1,4,0,24,0,24,4,16,60,6.308040131044532,14.229409680830443,5,1,60,0.6593406593406593,31,0.34065934065934067,SI
2019-1,u20172700,Apellido 7,Apellido 7,Nombre7,F,30,u7@upc.edu.pe,personal_7@gmail.com,97000000,NO,Ingeniería Civil,Ingeniería,Monterrico,2019-07-01,4,4,0,NO,0,NO,NO,NO,SIN BENEFICIO,EVALUACION INTEGRAL,2017-2,NO,SI,C,Y,4,1,6,20,0,1,19,3,4,1,2,0,8,0,4,12,80,12.200633609413305,14.240609093630283,6,1,108,0.7941176470588235,28,0.20588235294117646,NO
2019-1,u20172800,Apellido 8,Apellido 8,Nombre8,M,30,u8@upc.edu.pe,personal_8@gmail.com,98000000,SI,Ingeniería Industrial,Ingeniería,Monterrico,2019-08-01,4,4,0,SI,2000,NO,NO,NO,BECA DE HONOR,EXONER.GRADO TITULO,2017-2,NO,SI,C,Y,1,3,1,20,11,1,8,6,4,1,5,44,20,44,4,24,80,19.54439679245062,8.830565193663663,3,1,74,0.7184466019417476,29,0.2815533980582524,NO
2019-1,u20181900,Apellido 9,Apellido 9,Nombre9,F,21,u9@upc.edu.pe,personal_9@gmail.com,99000000,NO,Ingeniería de Gestión Empresarial,Ingeniería,Monterrico,2019-09-01,3,3,0,SI,10000,NO,NO,SI,BECA DE HONOR,SELECCIÓN PREFERENTE,2017-1,NO,NO,C,Q,2,5,4,15,14,1,0,4,3,3,1,56,4,56,4,16,60,6.699936511757967,13.652008967225921,6,0,100,0.7575757575757576,32,0.24242424242424243,NO
